N T LP_floor IP_lower LP_upper dual_sortedness
40459 13487 40449 40457 40457.92095358 sorted
40460 13487 40453 40459 40459.03513174 sorted
40461 13487 40454 40460 40460.15056462 sorted
40462 13488 40452 40461 40461.00501882 sorted
40463 13488 40455 40462 40462.11543287 sorted
40464 13488 40456 40463 40463.23086575 sorted
40465 13489 40455 40463 40463.96612296 sorted
40466 13489 40457 40465 40465.03889586 sorted
40467 13489 40455 40466 40466.15432873 sorted
40468 13490 40459 40467 40467.26850690 sorted
40469 13490 40461 40468 40468.38393977 sorted
40470 13490 40463 40469 40469.49937265 sorted
40471 13491 40464 40470 40470.24662024 sorted
40472 13491 40465 40471 40471.34985662 sorted
40473 13491 40465 40472 40472.46538304 sorted
40474 13492 40466 40473 40473.28103236 sorted
40475 13492 40467 40474 40474.38836542 sorted
40476 13492 40469 40475 40475.50389185 sorted
40477 13493 40468 40476 40476.33306022 sorted
40478 13493 40470 40477 40477.44694797 sorted
40479 13493 40471 40478 40478.56247440 sorted
40480 13494 40471 40479 40479.09319899 sorted
40481 13494 40472 40480 40480.18136020 sorted
40482 13494 40475 40481 40481.29722922 sorted
40483 13495 40477 40482 40482.04096682 sorted
40484 13495 40478 40483 40483.15526424 sorted
40485 13495 40478 40484 40484.27079066 sorted
40486 13496 40478 40485 40485.09586235 sorted
40487 13496 40479 40486 40486.09586235 sorted
40488 13496 40481 40487 40487.21138878 sorted
40489 13497 40484 40488 40488.02470687 sorted
40490 13497 40483 40489 40489.12102178 sorted
40491 13497 40485 40490 40490.23659966 sorted
40492 13498 40484 40491 40491.02846832 sorted
40493 13498 40486 40492 40492.02846832 sorted
40494 13498 40487 40493 40493.14394547 sorted
40495 13499 40487 40493 40493.97233359 sorted
40496 13499 40489 40495 40495.07578188 sorted
40497 13499 40490 40496 40496.19125902 sorted
40498 13500 40491 40497 40497.04530874 sorted
40499 13500 40493 40498 40498.04530874 sorted
40500 13500 40493 40499 40499.16078589 sorted
40501 13501 40492 40499 40499.49787956 sorted
40502 13501 40494 40500 40500.61153520 sorted
40503 13501 40495 40501 40501.72688719 sorted
40504 13502 40494 40502 40502.54877014 sorted
40505 13502 40496 40503 40503.64461408 sorted
40506 13502 40497 40504 40504.75996607 sorted
40507 13503 40502 40505 40505.75996607 sorted
40508 13503 40501 40506 40506.87616624 sorted
40509 13503 40501 40507 40507.99151824 sorted
40510 13504 40502 40508 40508.76675148 sorted
40511 13504 40503 40509 40509.87616624 sorted
40512 13504 40504 40510 40510.99151824 sorted
40513 13505 40506 40511 40511.94486853 sorted
40514 13505 40506 40513 40513.05767600 sorted
40515 13505 40509 40514 40514.17302799 sorted
40516 13506 40506 40514 40514.88914729 sorted
40517 13506 40509 40515 40515.99844961 sorted
40518 13506 40511 40517 40517.11395349 sorted
40519 13507 40511 40517 40517.82093023 sorted
40520 13507 40510 40518 40518.93100775 sorted
40521 13507 40515 40520 40520.04651163 sorted
40522 13508 40513 40520 40520.81705426 sorted
40523 13508 40517 40521 40521.92868217 sorted
40524 13508 40516 40522 40523.04418605 sorted
40525 13509 40517 40523 40523.84418605 sorted
40526 13509 40519 40524 40524.95503876 sorted
40527 13509 40518 40526 40526.07054264 sorted
40528 13510 40520 40526 40526.83545377 sorted
40529 13510 40521 40527 40527.83545377 sorted
40530 13510 40523 40528 40528.95080577 sorted
40531 13511 40524 40529 40529.77184054 sorted
40532 13511 40522 40530 40530.84478371 sorted
40533 13511 40525 40531 40531.96013571 sorted
40534 13512 40526 40532 40532.77184054 sorted
40535 13512 40526 40533 40533.88634436 sorted
40536 13512 40528 40535 40535.00169635 sorted
40537 13513 40528 40535 40535.84648007 sorted
40538 13513 40529 40536 40536.91942324 sorted
40539 13513 40531 40537 40538.03477523 sorted
40540 13514 40533 40538 40538.92620865 sorted
40541 13514 40533 40540 40540.03901612 sorted
40542 13514 40534 40541 40541.15436811 sorted
40543 13515 40535 40541 40541.85920271 sorted
40544 13515 40536 40542 40542.97540288 sorted
40545 13515 40537 40543 40544.09075488 sorted
40546 13516 40538 40544 40544.15097540 sorted
40547 13516 40537 40545 40545.25190840 sorted
40548 13516 40540 40546 40546.36726039 sorted
40549 13517 40542 40547 40547.48430874 sorted
40550 13517 40543 40548 40548.59711620 sorted
40551 13517 40544 40549 40549.71246819 sorted
40552 13518 40545 40550 40550.52502120 sorted
40553 13518 40545 40551 40551.63782867 sorted
40554 13518 40546 40552 40552.75318066 sorted
40555 13519 40547 40553 40553.52841391 sorted
40556 13519 40547 40554 40554.60135708 sorted
40557 13519 40549 40555 40555.71670908 sorted
40558 13520 40548 40556 40556.51738762 sorted
40559 13520 40552 40557 40557.51738762 sorted
40560 13520 40552 40558 40558.63273961 sorted
40561 13521 40553 40559 40559.69433198 sorted
40562 13521 40555 40560 40560.80364372 sorted
40563 13521 40556 40561 40561.91902834 sorted
40564 13522 40557 40562 40562.71862348 sorted
40565 13522 40557 40563 40563.83451417 sorted
40566 13522 40557 40564 40564.94989879 sorted
40567 13523 40558 40565 40565.80921053 sorted
40568 13523 40560 40566 40566.92257085 sorted
40569 13523 40562 40568 40568.03795547 sorted
40570 13524 40561 40568 40568.91548583 sorted
40571 13524 40564 40570 40570.02783401 sorted
40572 13524 40564 40571 40571.14321862 sorted
40573 13525 40565 40571 40571.96286472 sorted
40574 13525 40566 40573 40573.03580902 sorted
40575 13525 40569 40574 40574.15119363 sorted
40576 13526 40568 40574 40574.94410693 sorted
40577 13526 40569 40575 40575.94410693 sorted
40578 13526 40570 40577 40577.05953827 sorted
40579 13527 40570 40577 40577.91919806 sorted
40580 13527 40572 40579 40579.02976914 sorted
40581 13527 40573 40580 40580.14520049 sorted
40582 13528 40575 40580 40580.68787108 sorted
40583 13528 40576 40581 40581.68787108 sorted
40584 13528 40577 40582 40582.80322307 sorted
40585 13529 40577 40583 40583.89906701 sorted
40586 13529 40579 40585 40585.01357082 sorted
40587 13529 40580 40586 40586.12892282 sorted
40588 13530 40580 40586 40586.81933842 sorted
40589 13530 40581 40587 40587.92875318 sorted
40590 13530 40583 40589 40589.04410517 sorted
40591 13531 40585 40589 40589.59626802 sorted
40592 13531 40585 40590 40590.71331637 sorted
40593 13531 40586 40591 40591.82866836 sorted
40594 13532 40585 40592 40592.59881255 sorted
40595 13532 40587 40593 40593.71162002 sorted
40596 13532 40591 40594 40594.82697201 sorted
40597 13533 40589 40595 40595.65309584 sorted
40598 13533 40592 40596 40596.76590331 sorted
40599 13533 40594 40597 40597.88125530 sorted
40600 13534 40593 40598 40598.69804919 sorted
40601 13534 40594 40599 40599.80407125 sorted
40602 13534 40594 40600 40600.91942324 sorted
